ID,Release_Date,Title,TITLE,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,,,,
1,15 December 2021,Spider-Man: No Way Home,Spider-Man: No Way Home,5083.954,8940,8.3,English,Action,,,,
2,01 March 2022,The Batman,The Batman,3827.658,1151,8.1,English,Crime,,,,
3,25 February 2022,No Exit,No Exit,2618.087,122,6.3,English,Thriller,,,,
4,24 November 2021,Encanto,Encanto,2402.201,5076,7.7,English,Animation,,,,
5,22 December 2021,The King's Man,The King'S Man,1895.511,1793,7,English,Action,,,,
6,07 January 2022,The Commando,The Commando,1750.484,33,6.6,English,Action,,,,
7,12 January 2022,Scream,Scream,1675.161,821,6.8,English,Horror,,,,
8,10 February 2022,Kimi,Kimi,1601.782,206,6.3,English,Thriller,,,,
9,17 February 2022,Fistful of Vengeance,Fistful Of Vengeance,1594.013,114,5.3,English,Action,,,,
10,03 November 2021,Eternals,Eternals,1537.406,4726,7.2,English,Science Fiction,,,,
11,18 February 2022,Pursuit,Pursuit,1500.523,16,5.9,English,Action,,,,
12,06 August 2021,My Hero Academia: World Heroes' Mission,My Hero Academia: World Heroes' Mission,1485.064,100,7.3,Japanese,Animation,,,,
13,25 February 2022,Restless,Restless,1468.377,107,5.9,French,Action,,,,
14,02 December 2021,Nightmare Alley,Nightmare Alley,1455.144,952,7.1,English,Crime,,,,
15,28 January 2022,The Ice Age Adventures of Buck Wild,The Ice Age Adventures Of Buck Wild,1431.307,737,7.1,English,Animation,,,,
16,25 February 2022,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania,1373.778,288,7,English,Animation,,,,
17,18 February 2022,Texas Chainsaw Massacre,Texas Chainsaw Massacre,1312.79,521,5.1,English,Horror,,,,
18,28 January 2022,The Requin,The Requin,1252.317,65,4.6,English,Thriller,,,,
19,04 February 2022,Looop Lapeta,Looop Lapeta,1240.946,31,6,Hindi,Action,,,,
20,04 November 2021,Red Notice,Red Notice,1178.544,3193,6.8,English,Action,,,,
21,01 December 2021,Sing 2,Sing 2,1112.9,2172,8.2,English,Animation,,,,
22,03 January 2022,The Jack in the Box: Awakening,The Jack In The Box: Awakening,1096.79,43,5.4,English,Horror,,,,
23,30 September 2021,Venom: Let There Be Carnage,Venom: Let There Be Carnage,1053.615,6539,7.1,English,Science Fiction,,,,
24,16 December 2021,The Matrix Resurrections,The Matrix Resurrections,941.024,3160,6.8,English,Science Fiction,,,,
25,24 November 2021,Resident Evil: Welcome to Raccoon City,Resident Evil: Welcome To Raccoon City,881.086,1312,6.1,English,Horror,,,,
26,19 October 2021,Last Man Down,Last Man Down,869.605,318,6.3,English,Action,,,,
27,07 January 2022,American Siege,American Siege,867.326,49,5.4,English,Action,,,,
28,10 February 2022,Uncharted,Uncharted,866.391,691,7.1,English,Action,,,,
29,16 October 2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Demon Slayer -Kimetsu No Yaiba- The Movie: Mugen Train,845.992,2224,8.4,Japanese,Animation,,,,
30,11 November 2021,Ghostbusters: Afterlife,Ghostbusters: Afterlife,839.904,2225,7.7,English,Fantasy,,,,
31,05 January 2022,The 355,The 355,781.748,313,6.1,English,Action,,,,
32,01 September 2021,Shang-Chi and the Legend of the Ten Rings,Shang-Chi And The Legend Of The Ten Rings,769.185,5845,7.7,English,Action,,,,
33,09 February 2022,Marry Me,Marry Me,761.793,230,6.9,English,Romance,,,,
34,21 January 2022,The Hunting,The Hunting,761.127,10,5.8,English,Horror,,,,
35,08 December 2021,West Side Story,West Side Story,678.186,562,7.4,English,Drama,,,,
36,04 February 2022,Through My Window,Through My Window,659.105,1331,7.8,Spanish,Romance,,,,
37,02 July 2021,The Seven Deadly Sins: Cursed by Light,The Seven Deadly Sins: Cursed By Light,647.54,312,8,Japanese,Animation,,,,
38,05 November 2021,One Shot,One Shot,622.24,382,6.8,English,Action,,,,
39,24 January 2022,Tom and Jerry: Cowboy Up!,Tom And Jerry: Cowboy Up!,614.11,163,7.1,English,Animation,,,,
40,15 October 2020,Chernobyl: Abyss,Chernobyl: Abyss,601.958,314,6.2,Russian,Drama,,,,
41,25 February 2022,Desperate Riders,Desperate Riders,590.474,10,6.8,English,Western,,,,
42,10 November 2021,Clifford the Big Red Dog,Clifford The Big Red Dog,585.011,1100,7.3,English,Family,,,,
43,25 February 2022,Tyler Perry's A Madea Homecoming,Tyler Perry'S A Madea Homecoming,577.591,42,6.7,English,Comedy,,,,
44,01 July 2021,The Boss Baby: Family Business,The Boss Baby: Family Business,567.421,1785,7.6,English,Animation,,,,
45,10 March 2022,Turning Red,Turning Red,564.507,8,8.6,English,Animation,,,,
46,13 January 2022,Brazen,Brazen,553.141,211,4.8,English,Thriller,,,,
47,14 January 2022,The House,The House,551.65,432,7.1,English,Animation,,,,
48,10 February 2022,Blacklight,Blacklight,533.903,88,5.1,English,Action,,,,
49,15 October 2021,Ron's Gone Wrong,Ron'S Gone Wrong,509.277,1000,8.1,English,Animation,,,,
50,11 August 2021,Free Guy,Free Guy,447.872,5158,7.7,English,Comedy,,,,
51,26 May 2021,Cruella,Cruella,429.613,6675,8.2,English,Comedy,,,,
52,28 July 2021,The Suicide Squad,The Suicide Squad,424.983,5689,7.7,English,Action,,,,
53,12 November 2021,The Simpsons in Plusaversary,The Simpsons In Plusaversary,418.589,251,6.6,English,Animation,,,,
54,17 January 2022,Forgive Us Our Trespasses,Forgive Us Our Trespasses,409.688,27,6.3,English,Drama,,,,
55,17 June 2021,Luca,Luca,408.749,5886,8,English,Animation,,,,
56,07 April 2021,Mortal Kombat,Mortal Kombat,402.273,4447,7.2,English,Action,,,,
57,18 March 2021,Zack Snyder's Justice League,Zack Snyder'S Justice League,398.461,7414,8.3,English,Action,,,,
58,17 December 2021,Mother/Android,Mother/Android,398.12,422,5.8,English,Science Fiction,,,,
59,04 November 1986,Exploits of a Young Don Juan,Exploits Of A Young Don Juan,396.948,88,5.5,French,Comedy,,,,
60,15 September 2021,Dune,Dune,394.295,6237,7.9,English,Science Fiction,,,,
61,01 January 2021,The Last Warrior: Root of Evil,The Last Warrior: Root Of Evil,391.957,89,7.1,Russian,Fantasy,,,,
62,09 February 2022,The Privilege,The Privilege,387.924,104,5.1,German,Horror,,,,
63,11 June 2021,Queen of Spades,Queen Of Spades,387.159,37,6.4,English,Horror,,,,
64,28 October 2021,Antlers,Antlers,380.88,544,6.4,English,Drama,,,,
65,05 November 2021,Dangerous,Dangerous,379.856,175,6.4,English,Action,,,,
66,01 September 2021,After We Fell,After We Fell,365.85,1563,7.2,English,Romance,,,,
67,29 September 2021,No Time to Die,No Time To Die,360.164,3616,7.5,English,Adventure,,,,
68,05 November 2021,Sooryavanshi,Sooryavanshi,352.368,93,5.8,Hindi,Action,,,,
69,04 November 2021,Finch,Finch,348.942,2075,8.1,English,Science Fiction,,,,
70,23 July 2021,Two,Two,342.661,207,5.4,Spanish,Thriller,,,,
71,09 August 2021,PAW Patrol: The Movie,Paw Patrol: The Movie,339.374,855,7.5,English,Animation,,,,
72,25 April 2018,Avengers: Infinity War,Avengers: Infinity War,338.402,24079,8.3,English,Adventure,,,,
73,23 June 1989,Batman,Batman,338.272,6109,7.2,English,Fantasy,,,,
74,07 July 2021,Black Widow,Black Widow,337.651,7127,7.5,English,Action,,,,
75,18 February 2022,The Wonderful Winter of Mickey Mouse,The Wonderful Winter Of Mickey Mouse,333.354,3,5.7,English,Animation,,,,
76,19 May 2021,F9,F9,331.944,5092,7.3,English,Action,,,,
77,03 February 2022,Moonfall,Moonfall,328.678,186,5.9,English,Action,,,,
78,04 February 2022,"Sex, Shame and Tears 2","Sex, Shame And Tears 2",325.624,5,2.2,Spanish,Comedy,,,,
79,03 December 2021,Diary of a Wimpy Kid,Diary Of A Wimpy Kid,324.706,189,6.5,English,Animation,,,,
80,15 February 2022,AI Love You,Ai Love You,317.643,16,5.3,Thai,Comedy,,,,
81,30 March 2022,Sonic the Hedgehog 2,Sonic The Hedgehog 2,317.159,0,0,English,Action,,,,
82,17 February 2022,Erax,Erax,317.102,12,5.7,English,Mystery,,,,
83,04 August 2020,Deathstroke: Knights & Dragons - The Movie,Deathstroke: Knights & Dragons - The Movie,314.388,325,6.9,English,Animation,,,,
84,13 October 2021,The Last Duel,The Last Duel,312.916,1848,7.6,English,Action,,,,
85,26 January 2022,The Pirates: The Last Royal Treasure,The Pirates: The Last Royal Treasure,311.94,38,6.6,Korean,Action,,,,
86,29 October 2021,Paranormal Activity: Next of Kin,Paranormal Activity: Next Of Kin,310.011,300,6.5,English,Horror,,,,
87,24 November 2021,House of Gucci,House Of Gucci,308.214,1276,6.8,English,Drama,,,,
88,11 February 2021,Dark Spell,Dark Spell,308.037,80,6.7,Russian,Romance,,,,
89,28 July 2021,Jungle Cruise,Jungle Cruise,307.936,4034,7.6,English,Action,,,,
90,24 March 2021,Godzilla vs. Kong,Godzilla Vs. Kong,307.521,7681,7.8,English,Action,,,,
91,23 June 2012,The Amazing Spider-Man,The Amazing Spider-Man,306.376,14564,6.7,English,Action,,,,
92,17 February 2022,Heart Shot,Heart Shot,302.272,16,5.6,English,Romance,,,,
93,10 December 2009,Avatar,Avatar,297.357,25011,7.5,English,Action,,,,
94,11 June 2021,Mobile Suit Gundam Hathaway,Mobile Suit Gundam Hathaway,292.604,77,7.8,Japanese,Animation,,,,
95,27 October 2021,Army of Thieves,Army Of Thieves,290.54,1167,6.9,English,Crime,,,,
96,23 February 2022,UFO,Ufo,290.481,15,5.2,ukraine,Drama,,,,
97,03 March 2022,The Weekend Away,The Weekend Away,290.206,119,5.9,English,Thriller,,,,
98,25 November 2020,The Croods: A New Age,The Croods: A New Age,284.798,2877,7.6,English,Animation, Comedy,,,
99,03 December 2021,Back to the Outback,Back To The Outback,282.246,341,7.7,English,Animation,,,,
100,02 July 2021,The Tomorrow War,The Tomorrow War,282.068,5182,8,English,Action,,,,
101,28 January 2022,Home Team,Home Team,280.613,368,6.9,English,Family,,,,
102,17 March 2021,The Fallout,The Fallout,279.344,130,7.4,English,Drama,,,,
103,03 March 2021,Raya and the Last Dragon,Raya And The Last Dragon,277.59,5048,8,English,Family, Adventure,,,
104,09 September 2021,Infinite,Infinite,276.461,912,6.8,English,Science Fiction,,,,
105,22 April 2021,Wrath of Man,Wrath Of Man,273.622,3376,7.7,English,Action,,,,
106,17 December 2021,Fortress,Fortress,273.35,163,6.2,English,Crime,,,,
107,08 July 2021,Space Jam: A New Legacy,Space Jam: A New Legacy,271.573,2952,7.1,English,Family,,,,
108,13 January 2022,Laura y el misterio del asesino inesperado,Laura Y El Misterio Del Asesino Inesperado,266.754,8,7.3,Spanish,TV Movie,,,,
109,25 May 2021,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,266.614,4233,7.7,English,Horror,,,,
110,10 June 2005,Batman Begins,Batman Begins,265.806,17338,7.7,English,Action,,,,
111,20 January 2022,The Royal Treatment,The Royal Treatment,264.99,390,6.8,English,Romance,,,,
112,12 November 2021,Ciao Alberto,Ciao Alberto,261.672,412,7.5,English,Animation,,,,
113,05 June 2021,Gone Mom: The Disappearance of Jennifer Dulos,Gone Mom: The Disappearance Of Jennifer Dulos,257.852,113,7.8,English,TV Movie,,,,
114,28 June 2021,Ripper Untold,Ripper Untold,257.473,75,6.6,English,Horror,,,,
115,26 May 2021,Meander,Meander,256.866,218,6.1,French,Horror,,,,
116,18 November 2021,Zeros and Ones,Zeros And Ones,256.443,117,5.3,English,Thriller,,,,
117,22 July 2021,Snake Eyes: G.I. Joe Origins,Snake Eyes: G.I. Joe Origins,254.31,1028,6.8,English,Action,,,,
118,08 October 2021,Survive the Game,Survive The Game,252.22,107,5.8,English,Action,,,,
119,28 May 2021,Riverdance: The Animated Adventure,Riverdance: The Animated Adventure,250.831,28,5.2,English,Animation, Comedy, Family,,
